OBJECTID,ORIG_FID,osm_id,name,highway,z_order,other_tags,Shape_Leng,type,Shape_Length,lng,lat
1422,2243,1090996048, ,residential,3, ,0.002395931,Branch road,0,118.8019751,32.02088734
1423,2257,1094070269,莫愁路,secondary,6,"""lanes""=>""3"",""name:en""=>""Mochou Road"",""name:zh""=>""莫愁路"",""name:zh_pinyin""=>""Mòchóu Lù"",""oneway""=>""no""",0.00074547,Trunk road,0,118.7670375,32.0333316
1424,2257,1094070269,莫愁路,secondary,6,"""lanes""=>""3"",""name:en""=>""Mochou Road"",""name:zh""=>""莫愁路"",""name:zh_pinyin""=>""Mòchóu Lù"",""oneway""=>""no""",0.00074547,Trunk road,0,118.7681528,32.03513526
1425,2257,1094070269,莫愁路,secondary,6,"""lanes""=>""3"",""name:en""=>""Mochou Road"",""name:zh""=>""莫愁路"",""name:zh_pinyin""=>""Mòchóu Lù"",""oneway""=>""no""",0.00074547,Trunk road,0,118.7689762,32.03707225
1426,2257,1094070269,莫愁路,secondary,6,"""lanes""=>""3"",""name:en""=>""Mochou Road"",""name:zh""=>""莫愁路"",""name:zh_pinyin""=>""Mòchóu Lù"",""oneway""=>""no""",0.00074547,Trunk road,0,118.7695172,32.03912242
1427,2257,1094070269,莫愁路,secondary,6,"""lanes""=>""3"",""name:en""=>""Mochou Road"",""name:zh""=>""莫愁路"",""name:zh_pinyin""=>""Mòchóu Lù"",""oneway""=>""no""",0.00074547,Trunk road,0,118.7700366,32.0411772
1428,2257,1094070269,莫愁路,secondary,6,"""lanes""=>""3"",""name:en""=>""Mochou Road"",""name:zh""=>""莫愁路"",""name:zh_pinyin""=>""Mòchóu Lù"",""oneway""=>""no""",0.00074547,Trunk road,0,118.7707217,32.04312901
1429,2277,1114823896,中山东路,primary,7,"""oneway""=>""yes""",0.001956579,Trunk road,0,118.7806974,32.04365394
1430,2284,1122838568,应天大街,tertiary,4,"""oneway""=>""yes""",0.003430946,Arterial road,0,118.7734837,32.00843842
1431,2289,1126672835,白下路,secondary,6,"""oneway""=>""no""",0.005561963,Trunk road,0,118.7926175,32.02908589
1432,2289,1126672835,白下路,secondary,6,"""oneway""=>""no""",0.005561963,Trunk road,0,118.79055,32.02955789
1433,2312,1148620888, ,residential,3, ,0.00279245,Branch road,0,118.8648756,32.01959327
